,Category,Category FR,Cluster,Cluster FR,Count,Link,Original,Product,Source,Weight
10,Wall Decor,Wall Decor,indoor plant,indoor plant,200.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.huffpostbrasil.com%2Fentry%2Findoor-plants-air-purifying-remove-toxins_l_5cab6e5fe4b02e7a705b9c92&psig=AOvVaw26-BU8RkimkZeooTTbsHIB&ust=1584010968019000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPjt4eqikugCFQAAAAAdAAAAABAF,Indoor Plants,indoor plant,Trendy,1
0,Wall Decor,Wall Decor,wall decor home art,wall decor home art,157.0,https://s.alicdn.com/@sc01/kf/H16adb2b2ae8e4d5aa48823ee4216aa049/IVY-New-Design-Modern-Tropical-Plant-Painting.jpg_300x300.jpg,Wall Decor Home Art,wall decor,alibaba,1
3,Wall Decor,Wall Decor,outdoor decoration white curtain,outdoor decoration white curtain,3.0,https://m.media-amazon.com/images/I/61p74O5Nc+L._AC_UL320_ML3_.jpg,Outdoor Decoration White Curtain,outdoor decoration white curtain,amazon,1
4,Wall Decor,Wall Decor,ip mainstay 6 set,ip mainstay 6 set,2.0,https://i5.walmartimages.com/asr/2c732648-e13f-44d6-a96a-933b4e3bd90d_1.ac468677a96dce033d1770940204e97e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Mainstay 6 Set,ip mainstay 6 set,walmart,1
5,Wall Decor,Wall Decor,ip full length leaner mirror champagne silver 65 x31 sandberg furniture 851777821,ip full length leaner mirror champagne silver 65 x31 sandberg furniture 851777821,1.0,https://i5.walmartimages.com/asr/5ea0d776-6886-43a0-98cd-a13c9f9a4b1a_1.b90480381e6b2a53e708b4b82344f771.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Full Length Leaner Mirror Champagne Silver 65 X31 Sandberg Furniture 851777821,ip full length leaner mirror champagne silver 65 x31 sandberg furniture 851777821,walmart,1
6,Wall Decor,Wall Decor,ip better home garden farmhouse plank galvanized finish wall clock 740716015,ip better home garden farmhouse plank galvanized finish wall clock 740716015,1.0,https://i5.walmartimages.com/asr/8b6cdb9b-1dee-472f-b0e2-1c2655e040b2_1.29cbee34301af5045c3ad3333deadd90.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Better Home Garden Farmhouse Plank Galvanized Finish Wall Clock 740716015,ip better home garden farmhouse plank galvanized finish wall clock 740716015,walmart,1
7,Wall Decor,Wall Decor,greenco 5 tier wall mount corner shelve espresso finish 7 75 l x 7 75 w x 48 5 h,greenco 5 tier wall mount corner shelve espresso finish 7 75 l x 7 75 w x 48 5 h,1.0,https://m.media-amazon.com/images/I/71mpX94M9RL._AC_UL320_ML3_.jpg,Greenco 5 Tier Wall Mount Corner Shelve Espresso Finish 7 75 L X 7 75 W X 48 5 H,greenco 5 tier wall mount corner shelve espresso finish 7 75 l x 7 75 w x 48 5 h,amazon,1
8,Wall Decor,Wall Decor,hblife toothbrush holder small stainle steel toothpaste holder bathroom accessor organizer black,hblife toothbrush holder small stainle steel toothpaste holder bathroom accessor organizer black,1.0,https://m.media-amazon.com/images/I/71HDgQssw2L._AC_UL320_ML3_.jpg,Hblife Toothbrush Holder Small Stainles Steel Toothpaste Holder Bathroom Accessor Organizer Black,hblife toothbrush holder small stainle steel toothpaste holder bathroom accessor organizer black,amazon,1
9,Wall Decor,Wall Decor,1776 union,1776 union,1.0,https://i.etsystatic.com/22248024/d/il/c4d81a/2245774349/il_340x270.2245774349_md71.jpg?version=0,1776 Union,1776 union,etsy,1
11,Umbrella,Umbrella,umbrella windproof travel rain,umbrella windproof travel rain,150.0,https://s.alicdn.com/@sc01/kf/HTB1VnXAXlfM8KJjSZFrq6xSdXXaC/Umbrella-china-leading-manufactory-with-audit.jpg_300x300.jpg,Umbrella Windproof Travel Rain,umbrella windproof travel rain,alibaba,1
