,Category,Category FR,Cluster,Cluster FR,Count,Link,Original,Product,Source,Weight,Total
20,Wall Decor,Wall Decor,indoor plant,indoor plant,0.5504587155963303,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.huffpostbrasil.com%2Fentry%2Findoor-plants-air-purifying-remove-toxins_l_5cab6e5fe4b02e7a705b9c92&psig=AOvVaw26-BU8RkimkZeooTTbsHIB&ust=1584010968019000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPjt4eqikugCFQAAAAAdAAAAABAF,Indoor Plants,indoor plant,Trendy,1,436.0
0,Wall Decor,Wall Decor,wall decor art home,wall decor art home,0.35091743119266056,https://s.alicdn.com/@sc01/kf/H16adb2b2ae8e4d5aa48823ee4216aa049.jpg_300x300.jpg,Wall Decor Art Home,wall decor art,alibaba,1,436.0
1,Wall Decor,Wall Decor,ip length mirror full,ip length mirror full,0.013761467889908258,https://i5.walmartimages.com/asr/5ea0d776-6886-43a0-98cd-a13c9f9a4b1a_1.b90480381e6b2a53e708b4b82344f771.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Length Mirror Full,ip length mirror full,walmart,1,436.0
2,Wall Decor,Wall Decor,ip black mainstay set,ip black mainstay set,0.013761467889908258,https://i5.walmartimages.com/asr/2c732648-e13f-44d6-a96a-933b4e3bd90d_1.ac468677a96dce033d1770940204e97e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Black Mainstay Set,ip black mainstay set,walmart,1,436.0
9,Wall Decor,Wall Decor,wall rack 21x70x68,wall rack 21x70x68,0.009174311926605505,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw8923c320/product/13092013_01_001_01.jpg?sw=245&sh=279&sm=fit,Wall Rack 21X70X68,wall rack 21x70x68,hema,1,436.0
3,Wall Decor,Wall Decor,ip industrial 3 tier floating shelf towel 36 453015826,ip industrial 3 tier floating shelf towel 36 453015826,0.006880733944954129,https://i5.walmartimages.com/asr/5e684f92-a68b-4d26-996f-7e265681cab2_2.aa13d8fb59cca7a114788c05b5f463b1.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Industrial 3 Tier Floating Shelf Towel 36 453015826,ip industrial 3 tier floating shelf towel 36 453015826,walmart,1,436.0
4,Wall Decor,Wall Decor,ip better home garden farmhouse plank galvanized finish wall clock 740716015,ip better home garden farmhouse plank galvanized finish wall clock 740716015,0.006880733944954129,https://i5.walmartimages.com/asr/8b6cdb9b-1dee-472f-b0e2-1c2655e040b2_1.29cbee34301af5045c3ad3333deadd90.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Better Home Garden Farmhouse Plank Galvanized Finish Wall Clock 740716015,ip better home garden farmhouse plank galvanized finish wall clock 740716015,walmart,1,436.0
5,Wall Decor,Wall Decor,ip modrn multi colored canva print 476608425,ip modrn multi colored canva print 476608425,0.006880733944954129,https://i5.walmartimages.com/asr/279455ca-7028-4ff5-87a8-783024811dcb_3.6e24fbfe15be993405ea6419efc93b0d.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Modrn Multi Colored Canva Print 476608425,ip modrn multi colored canva print 476608425,walmart,1,436.0
6,Wall Decor,Wall Decor,dream handmade catch size,dream handmade catch size,0.006880733944954129,https://i.etsystatic.com/15509318/d/il/7ef3a5/2266717397/il_340x270.2266717397_bhjw.jpg?version=0,Dream Handmade Catch Size,dream handmade catch size,etsy,1,436.0
7,Wall Decor,Wall Decor,curtain garden party wall,curtain garden party wall,0.0045871559633027525,https://m.media-amazon.com/images/I/61p74O5Nc+L._AC_UL320_ML3_.jpg,Curtain Garden Party Wall,curtain garden party wall,amazon,1,436.0
